Timestamp,Applicant Name,Score from 1 to 5 (1 is lowest)
2023-02-02 22:30:03.032,28A,3
2023-02-02 22:30:16.672,28A,4
2023-02-02 22:30:20.321,28A,4
2023-02-02 22:30:21.115,28A,3
2023-02-02 22:30:37.704,28A,4
2023-02-02 22:30:39.615,28A,5
2023-02-02 21:14:23.612,22A,2
2023-02-02 21:20:40.023,22A,3
2023-02-02 21:20:41.348,22A,2
2023-02-02 21:20:43.842,22A,1
2023-02-02 21:20:46.723,22A,5
2023-02-02 21:20:48.138,22A,3
2023-02-02 21:20:50.853,22A,3
2023-02-02 21:20:51.001,22A,1
2023-02-02 21:20:52.842,22A,3
2023-02-02 21:20:53.121,22A,3
2023-02-02 21:20:57.415,22A,5
2023-02-02 21:20:58.769,22A,3
2023-02-02 21:21:03.091,22A,2
2023-02-02 21:21:03.471,22A,3
2023-02-02 21:21:09.662,22A,2
2023-02-02 21:21:11.041,22A,4
2023-02-02 21:21:21.882,22A,2
2023-02-02 21:21:26.683,22A,3
2023-02-02 21:21:28.338,22A,3
2023-02-02 21:21:53.712,22A,3
2023-02-02 21:21:59.091,22A,3
2023-02-02 21:22:14.807,22A,3
2023-02-02 21:22:19.274,22A,4
2023-02-02 21:22:27.414,22A,3
2023-02-02 21:22:30.962,22A,4
2023-02-02 21:22:58.922,22A,4
2023-02-02 21:23:05.634,22A,5
2023-02-02 21:23:43.226,22A,3
2023-02-02 21:33:37.370,22A,2
2023-02-02 21:33:48.193,22A,3
2023-02-02 21:33:50.647,22A,4
2023-02-02 21:33:59.343,22A,2
2023-02-02 21:34:08.904,22A,3
2023-02-02 21:34:19.442,22A,4
2023-02-02 21:35:44.336,22A,3
2023-02-02 21:30:23.578,22A*,1
2023-02-02 21:33:25.366,22A*,4
2023-02-02 21:33:26.540,22A*,4
2023-02-02 21:33:28.611,22A*,3
2023-02-02 21:33:28.681,22A*,3
2023-02-02 21:33:29.059,22A*,3
2023-02-02 21:33:31.710,22A*,3
2023-02-02 21:33:32.038,22A*,1
2023-02-02 21:33:32.679,22A*,3
2023-02-02 21:33:39.950,22A*,5
2023-02-02 21:33:40.597,22A*,4
2023-02-02 21:33:40.955,22A*,5
2023-02-02 21:33:43.774,22A*,3
2023-02-02 21:33:45.535,22A*,5
2023-02-02 21:33:47.153,22A*,3
2023-02-02 21:33:48.338,22A*,4
2023-02-02 21:33:54.869,22A*,2
2023-02-02 21:33:55.162,22A*,2
2023-02-02 21:33:59.192,22A*,4
2023-02-02 21:34:03.011,22A*,3
2023-02-02 21:34:11.310,22A*,3
2023-02-02 21:34:19.783,22A*,2
2023-02-02 21:34:21.038,22A*,2
2023-02-02 21:34:24.645,22A*,3
2023-02-02 21:34:26.965,22A*,3
2023-02-02 21:35:59.185,22A*,3
2023-02-02 21:47:57.794,23A,2
2023-02-02 21:49:08.040,23A,1
2023-02-02 21:49:12.939,23A,3
2023-02-02 21:49:21.852,23A,2
2023-02-02 21:49:23.952,23A,2
2023-02-02 21:49:24.573,23A,1
2023-02-02 21:49:27.010,23A,3
2023-02-02 21:49:27.057,23A,3
2023-02-02 21:49:27.103,23A,2
