Applicant Name,Case Interview Score,Score from 1 to 5 (1 is lowest)
4A,2.5,2.0
4A,2.5,4.0
4A,2.5,4.0
4A,2.5,2.0
4A,2.5,5.0
4A,2.5,5.0
4A,2.5,4.0
4A,2.5,3.0
4A,2.5,2.0
4A,2.5,3.0
4A,2.5,3.0
4A,2.5,1.0
4A,2.5,4.0
4A,2.5,1.0
4A,2.5,5.0
2A,3.75,3.5
3A,3.54,3.47
5A,4.27,3.335
6A,4.9,3.225
7A,3.13,3.19
8A,2.4,2.85
9A,3.23,2.615
10A,2.81,2.38
